person,personLabel,birthDate,birthPlaceLabel,deathDate,genderLabel,occupationLabel,educationLabel
http://www.wikidata.org/entity/Q26460,Бобан Бабунски,1968-05-05T00:00:00Z,Скопје,,машки,фудбалски тренер,
http://www.wikidata.org/entity/Q26460,Бобан Бабунски,1968-05-05T00:00:00Z,Скопје,,машки,фудбалер,
http://www.wikidata.org/entity/Q29619,Марјан Пејоски,1968-01-01T00:00:00Z,Скопје,,машки,моден творец,
http://www.wikidata.org/entity/Q32196,Катарина Ивановска,1988-08-18T00:00:00Z,Скопје,,женски,глумец,
http://www.wikidata.org/entity/Q32196,Катарина Ивановска,1988-08-18T00:00:00Z,Скопје,,женски,фотомодел,
http://www.wikidata.org/entity/Q32196,Катарина Ивановска,1988-08-18T00:00:00Z,Скопје,,женски,филмски глумец,
http://www.wikidata.org/entity/Q44004,Јани Макрадули,1965-02-28T00:00:00Z,Битола,,машки,политичар,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q44871,Игор Стаменовски,1980-06-16T00:00:00Z,Делчево,,машки,фудбалски тренер,
http://www.wikidata.org/entity/Q44871,Игор Стаменовски,1980-06-16T00:00:00Z,Делчево,,машки,фудбалер,
http://www.wikidata.org/entity/Q57436,Ѓорге Иванов,1960-05-02T00:00:00Z,Валандово,,машки,политичар,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q57436,Ѓорге Иванов,1960-05-02T00:00:00Z,Валандово,,машки,уредник,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q57436,Ѓорге Иванов,1960-05-02T00:00:00Z,Валандово,,машки,универзитетски професор,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q57766,Никола Груевски,1970-08-31T00:00:00Z,Скопје,,машки,политичар,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q57766,Никола Груевски,1970-08-31T00:00:00Z,Скопје,,машки,економист,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q57766,Никола Груевски,1970-08-31T00:00:00Z,Скопје,,машки,политичар,Универзитет „Св. Климент Охридски“ - Битола
http://www.wikidata.org/entity/Q57766,Никола Груевски,1970-08-31T00:00:00Z,Скопје,,машки,економист,Универзитет „Св. Климент Охридски“ - Битола
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24T00:00:00Z,Скопје,,машки,политичар,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24T00:00:00Z,Скопје,,машки,економист,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24T00:00:00Z,Скопје,,машки,дипломат,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24T00:00:00Z,Скопје,,машки,политичар,Q1109135
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24T00:00:00Z,Скопје,,машки,економист,Q1109135
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24T00:00:00Z,Скопје,,машки,дипломат,Q1109135
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24T00:00:00Z,Скопје,,машки,политичар,Q1198571
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24T00:00:00Z,Скопје,,машки,економист,Q1198571
http://www.wikidata.org/entity/Q58110,Никола Попоски,1977-10-24T00:00:00Z,Скопје,,машки,дипломат,Q1198571
http://www.wikidata.org/entity/Q59479,Иван Џепароски,1958-05-09T00:00:00Z,Скопје,,машки,писател,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q59479,Иван Џепароски,1958-05-09T00:00:00Z,Скопје,,машки,поет,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q59479,Иван Џепароски,1958-05-09T00:00:00Z,Скопје,,машки,преведувач,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q59508,Цветанка Органџиева,1923-01-01T00:00:00Z,Велес,2018-01-01T00:00:00Z,женски,Q15976341,Загрепски универзитет
http://www.wikidata.org/entity/Q59946,Вера Чејковска,1954-10-16T00:00:00Z,Скопје,2018-11-19T00:00:00Z,женски,писател,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q59946,Вера Чејковска,1954-10-16T00:00:00Z,Скопје,2018-11-19T00:00:00Z,женски,поет,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q59948,Дејан Дуковски,1969-01-01T00:00:00Z,Скопје,,машки,сценарист,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q59948,Дејан Дуковски,1969-04-26T00:00:00Z,Скопје,,машки,сценарист,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q59948,Дејан Дуковски,1969-01-01T00:00:00Z,Скопје,,машки,драматург,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q59948,Дејан Дуковски,1969-04-26T00:00:00Z,Скопје,,машки,драматург,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q59948,Дејан Дуковски,1969-01-01T00:00:00Z,Скопје,,машки,универзитетски професор,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q59948,Дејан Дуковски,1969-04-26T00:00:00Z,Скопје,,машки,универзитетски професор,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q72051,Ермис Лафазановски,1961-12-08T00:00:00Z,Клуж-Напока,,машки,писател,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q72051,Ермис Лафазановски,1961-12-08T00:00:00Z,Клуж-Напока,,машки,есеист,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q72051,Ермис Лафазановски,1961-12-08T00:00:00Z,Клуж-Напока,,машки,книжевен историчар,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q72053,Благоја Иванов,1931-02-04T00:00:00Z,Скопје,,машки,писател,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q72053,Благоја Иванов,1931-02-04T00:00:00Z,Скопје,,машки,новинар,Универзитет „Св. Кирил и Методиј“
http://www.wikidata.org/entity/Q72054,Илхами Емин,1931-08-08T00:00:00Z,Радовиш,2020-04-28T00:00:00Z,машки,писател,
http://www.wikidata.org/entity/Q72054,Илхами Емин,1931-08-08T00:00:00Z,Радовиш,2020-04-28T00:00:00Z,машки,поет,
http://www.wikidata.org/entity/Q72054,Илхами Емин,1931-08-08T00:00:00Z,Радовиш,2020-04-28T00:00:00Z,машки,преведувач,
http://www.wikidata.org/entity/Q72061,Авни Енѓулу,1947-09-07T00:00:00Z,Скопје,2024-02-17T00:00:00Z,машки,писател,
http://www.wikidata.org/entity/Q72061,Авни Енѓулу,1947-09-07T00:00:00Z,Скопје,2024-02-17T00:00:00Z,машки,поет,
http://www.wikidata.org/entity/Q72061,Авни Енѓулу,1947-09-07T00:00:00Z,Скопје,2024-02-17T00:00:00Z,машки,преведувач,
http://www.wikidata.org/entity/Q72061,Авни Енѓулу,1947-09-07T00:00:00Z,Скопје,2024-02-17T00:00:00Z,машки,новинар,
http://www.wikidata.org/entity/Q72061,Авни Енѓулу,1947-09-07T00:00:00Z,Скопје,2024-02-17T00:00:00Z,машки,раскажувач,
